,T,N,p,k,I,f,life_hi,life_lo,om_hi,om_lo,dt
47,800,500,25.0,2.0,0.75,0.1,500.0,500.0,0.02666666666666667,0.02666666666666667,0.5
48,800,500,25.0,2.0,0.75,0.1,30.150753768844197,30.150753768844197,0.02666666666666667,0.02666666666666667,0.5
49,800,500,25.0,2.0,0.75,0.1,500.0,500.0,0.08,0.08,0.5
50,800,500,25.0,2.0,0.75,0.1,500.0,500.0,0.08,0.08,0.5
51,800,500,25.0,2.0,0.75,0.1,0.0,0.0,0.0,0.0,0.5
52,800,500,25.0,2.0,0.75,0.1,0.0,0.0,0.08,0.08,0.5
53,800,500,25.0,2.0,0.75,0.1,0.0,0.0,0.0,0.0,0.5
54,800,500,25.0,2.0,0.75,0.1,0.0,0.0,0.0,0.0,0.5
55,800,500,10.0,2.0,1.25,0.1,0.0,0.0,0.05333333333333334,0.05333333333333334,0.5
56,800,500,10.0,2.0,1.25,0.1,0.0,0.0,0.0,0.0,0.5
57,800,500,10.0,2.0,1.25,0.1,0.0,0.0,0.0,0.0,0.5
58,800,500,10.0,2.0,1.25,0.1,0.0,0.0,0.0,0.0,0.5
59,800,500,10.0,2.0,1.25,0.1,0.0,0.0,0.02666666666666667,0.02666666666666667,0.5
60,800,500,10.0,2.0,1.25,0.1,0.0,0.0,0.0,0.0,0.5
61,800,500,10.0,2.0,1.25,0.1,0.0,0.0,0.0,0.0,0.5
62,800,500,10.0,2.0,1.25,0.1,0.0,0.0,0.0,0.0,0.5
63,800,500,10.0,2.0,1.25,0.1,2.5125628140703498,2.5125628140703498,0.02666666666666667,0.02666666666666667,0.5
64,800,500,10.0,2.0,1.25,0.1,0.0,0.0,0.0,0.0,0.5
65,800,500,10.0,2.0,1.25,0.1,0.0,0.0,0.0,0.0,0.5
66,800,500,25.0,2.5,1.5,0.1,500.0,500.0,0.05333333333333334,0.05333333333333334,0.5
67,800,500,25.0,2.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
68,800,500,25.0,2.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
69,800,500,25.0,2.5,1.5,0.1,0.0,0.0,0.02666666666666667,0.02666666666666667,0.5
70,800,500,25.0,2.5,1.5,0.1,271.356783919598,271.356783919598,0.05333333333333334,0.05333333333333334,0.5
71,800,500,25.0,2.5,1.5,0.1,40.20100502512565,40.20100502512565,0.05333333333333334,0.05333333333333334,0.5
72,800,500,25.0,2.5,1.5,0.1,0.0,0.0,0.02666666666666667,0.02666666666666667,0.5
73,800,500,25.0,2.5,1.5,0.1,0.0,0.0,0.08,0.08,0.5
74,800,500,25.0,2.5,1.5,0.1,0.0,0.0,0.05333333333333334,0.05333333333333334,0.5
75,800,500,25.0,2.5,1.5,0.1,500.0,500.0,0.08,0.08,0.5
76,800,500,25.0,2.5,1.5,0.1,500.0,500.0,0.08,0.08,0.5
77,800,500,10.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
78,800,500,10.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
79,800,500,10.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
80,800,500,10.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
81,800,500,10.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
82,800,500,10.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
83,800,500,10.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
84,800,500,10.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
85,800,500,10.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
86,800,500,10.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
87,800,500,10.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
88,800,500,10.0,3.5,0.5,0.1,0.0,500.0,0.0,0.0,0.5
89,800,500,10.0,3.5,0.5,0.1,0.0,500.0,0.0,0.0,0.5
90,800,500,10.0,3.5,0.5,0.1,0.0,500.0,0.0,0.0,0.5
91,800,500,10.0,3.5,0.5,0.1,0.0,0.0,0.0,0.0,0.5
92,800,500,10.0,3.5,0.5,0.1,0.0,0.0,0.0,0.0,0.5
93,800,500,10.0,3.5,0.5,0.1,0.0,500.0,0.0,0.0,0.5
94,800,500,10.0,3.5,0.5,0.1,0.0,500.0,0.0,0.0,0.5
95,800,500,10.0,3.5,0.5,0.1,0.0,500.0,0.0,0.0,0.5
96,800,500,10.0,3.5,0.5,0.1,0.0,0.0,0.0,0.0,0.5
