,N,p,k,I,f,om_max,life,dt
203,1000,15.0,3.0,0.6749999999999999,0.1,0.0,0.0,0.1
204,1000,15.0,3.0,0.6749999999999999,0.1,0.08,126.26262626262627,0.1
205,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,30.30303030303031,0.1
206,1000,15.0,3.0,0.6749999999999999,0.1,0.08,75.75757575757575,0.1
207,1000,15.0,3.0,0.6749999999999999,0.1,0.08,166.66666666666663,0.1
208,1000,15.0,3.0,0.6749999999999999,0.1,0.08,101.01010101010104,0.1
209,1000,15.0,3.0,0.6749999999999999,0.1,0.08,50.50505050505052,0.1
210,1000,15.0,3.0,0.6749999999999999,0.1,0.08,85.85858585858585,0.1
211,1000,15.0,3.0,0.6749999999999999,0.1,0.08,85.85858585858585,0.1
212,5000,15.0,3.0,1.5,0.1,0.02666666666666667,0.0,0.1
213,5000,15.0,3.0,1.5,0.1,0.0,0.0,0.1
214,5000,15.0,3.0,1.5,0.1,0.0,0.0,0.1
215,5000,15.0,3.0,1.5,0.1,0.0,0.0,0.1
216,5000,15.0,3.0,1.5,0.1,0.02666666666666667,0.0,0.1
217,5000,15.0,3.0,1.5,0.1,0.0,0.0,0.1
218,5000,15.0,3.0,1.5,0.1,0.0,0.0,0.1
219,5000,15.0,3.0,1.5,0.1,0.0,0.0,0.1
220,5000,15.0,3.0,1.5,0.1,0.02666666666666667,10.101010101010104,0.1
221,5000,15.0,3.0,1.5,0.1,0.0,0.0,0.1
222,5000,15.0,3.0,1.5,0.1,0.0,0.0,0.1
223,5000,25.0,3.0,1.2,0.1,0.05333333333333334,101.01010101010104,0.1
224,5000,25.0,3.0,1.2,0.1,0.05333333333333334,141.4141414141414,0.1
225,5000,25.0,3.0,1.2,0.1,0.05333333333333334,111.11111111111109,0.1
226,5000,25.0,3.0,1.2,0.1,0.05333333333333334,237.37373737373736,0.1
227,5000,25.0,3.0,1.2,0.1,0.05333333333333334,111.11111111111109,0.1
228,5000,25.0,3.0,1.2,0.1,0.05333333333333334,80.80808080808083,0.1
229,5000,25.0,3.0,1.2,0.1,0.05333333333333334,126.26262626262627,0.1
230,5000,25.0,3.0,1.2,0.1,0.05333333333333334,156.56565656565658,0.1
231,5000,25.0,3.0,1.2,0.1,0.05333333333333334,75.75757575757575,0.1
232,5000,25.0,3.0,1.2,0.1,0.05333333333333334,126.26262626262627,0.1
233,5000,25.0,3.0,1.2,0.1,0.05333333333333334,126.26262626262627,0.1
234,5000,15.0,3.0,0.825,0.1,0.05333333333333334,40.404040404040416,0.1
235,5000,15.0,3.0,0.825,0.1,0.05333333333333334,50.50505050505052,0.1
236,5000,15.0,3.0,0.825,0.1,0.08,70.70707070707067,0.1
237,5000,15.0,3.0,0.825,0.1,0.08,45.45454545454544,0.1
238,5000,15.0,3.0,0.825,0.1,0.05333333333333334,50.50505050505052,0.1
239,5000,15.0,3.0,0.825,0.1,0.05333333333333334,35.353535353535335,0.1
240,5000,15.0,3.0,0.825,0.1,0.08,55.55555555555554,0.1
241,5000,15.0,3.0,0.825,0.1,0.08,70.70707070707067,0.1
242,5000,15.0,3.0,0.825,0.1,0.05333333333333334,35.353535353535335,0.1
243,5000,15.0,3.0,0.825,0.1,0.05333333333333334,50.50505050505052,0.1
244,5000,15.0,3.0,0.825,0.1,0.05333333333333334,50.50505050505052,0.1
245,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
246,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
247,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
248,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
249,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
250,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
251,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
252,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
253,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
254,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
255,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
256,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
257,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
258,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
259,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
260,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
261,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
262,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
263,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
264,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
265,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
266,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
267,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
268,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
269,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
270,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
271,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
272,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
273,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
274,1000,10.0,3.0,0.3,0.1,0.0,0.0,0.1
